"Group UID","Group ID","Group Name","Companies House Number","Group Type (code)","Group Type","Closed Date","Group Status (code)","Group Status","Group Contact Street","Group Contact Locality","Group Contact Address 3","Group Contact Town","Group Contact County","Group Contact Postcode","Head of Group Title","Head of Group First Name","Head of Group Last Name"
"1001","","Northwood Queensmead Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1002","","The Federation of John Rankin Infant and Nursery School and John Rankin Junior School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1003","","The Arreton and Oakfield Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1006","","The Federation of Stockland Green Technology College and The Arthur Terry School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1011","","The Federation of Bodsham Church of England Primary School and Saltwood Church of England Primary School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1012","","The Federation of Fryern Infant and Junior Schools","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1014","","Rosedale College/Mellow Lane Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1015","","Federation of St James' CE (VA) Nursery, Infant and Junior Schools","","01","Federation","","OPEN","Open","","","","","Not recorded","","Mrs","Gill","Zelynskyj"
"1016","","Park Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1020","","The Federation of Wightwick Hall School and Cherry Trees School","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1022","","The Federation of Clayton Hall Business and Language College and NCHS - The Science College","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1023","","Easton and Witchingham Church of England Federation","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1025","","The Federation of Holy Trinity and Pewley Down Schools","","01","Federation","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1028","","The Pioneer Co-Operative Trust","06893415","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1029","","Tomlinscote School and Sixth Form College","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1030","","Alsager Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1031","","Aspect","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1032","","Avonbourne International Business and Enterprise Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1033","","Aycliffe and Shildon Schools Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1034","","The Banbury School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1035","","Barr's Hill School Trust Ltd","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1037","","Bebington High Sports College a Co-operative Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1039","","Best Futures","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1040","","Billericay Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1041","","Birchwood High School Board of Trustees","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1042","","Bishopsford Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1043","","Bourne Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1044","","Bridgwater Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1045","","Burnley Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1046","","Cambridge Meridian Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Mr","Mark","Woods"
"1047","","Chaddesley Corbett Educational Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1048","","Chafford Hundred Campus Business and Enterprise College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1050","","Chase High Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1051","","Chase Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1052","","Chester Diocesan Board of Education","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1053","","Christchurch Learning Partnership and Church of England","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1054","","Collegiate High School Raising Aspirations Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1055","","Comberton Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1056","","ContinU Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1057","","Coombeshead College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1058","","Co-op Aspect","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1059","","COWA","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1060","","Cowes Parthfinder Partnership","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1061","","Cuckoo Hall Community Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1062","","Derby Pride Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1063","","Donnington and Trench Learners Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1064","","Education Ossett - Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1065","","Endeavour Educational Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1066","","Excel Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1067","","Felixstowe Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1068","","Fleetwood Education Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1069","","Fosse Way School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1070","","George Eliot Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1071","","George Pindar Community Sports College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1072","","Girls' Trust for Educational Excellence and Enterprise","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1073","","Grantham The Walton Girls' High School","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1074","","Hazelwick School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1075","","Hilbre High School Humanities College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1076","","Hinchley Wood School Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1077","","Houghton Kepier Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1078","","Hounsdown Future Leaders Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1079","","Islington Arts and Media Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1080","","Kingsbridge Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1081","","Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1082","","Leon Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1083","","Lever Park Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1084","","Lincoln Diocesan Trust and Board of Finance Ltd","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1085","","The Lipson Learning Co-operative Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1086","","Lodge Park Technology College Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1087","","Lyndon School Humanities Trust Board","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1088","","Lyng Hall Trust Ltd","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1089","","Makerfield Community Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1090","","Meadowhead Community Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1091","","Medina Innovation Trust AKA Island Innovation Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1092","","Montgomery Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1093","","Nord Anglia Education Plc.","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1095","","North East Bedford Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1096","","North East Lincolnshire Joint Church School Trust Limited","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1097","","North Pennine Learning Partnership Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1098","","Oldfield Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1099","","Parklands Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1100","","PL9 Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1102","","Rainhill Learning Village Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1103","","Rochester Learning Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1104","","Sebright Education Foundation","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
"1105","","South Dartmoor Leading Practice Trust","","02","Trust","","OPEN","Open","","","","","Not recorded","","Not recorded","",""
